epoch,accuracy,loss,val_accuracy,val_loss
0,0.2706199586391449,0.3306792080402374,0.27228525280952454,1.410782814025879
1,0.3487870693206787,0.29240119457244873,0.40518638491630554,1.243755578994751
2,0.5353099703788757,0.23876982927322388,0.44732576608657837,1.524889588356018
3,0.5762802958488464,0.22785615921020508,0.6110210418701172,0.9104359149932861
4,0.626954197883606,0.19840607047080994,0.614262580871582,1.0158710479736328
5,0.6436657905578613,0.18708334863185883,0.6353322267532349,0.8438437581062317
6,0.6679245233535767,0.1774633377790451,0.5510534644126892,1.3429524898529053
7,0.6733153462409973,0.1692642867565155,0.6709886789321899,0.778627336025238
8,0.6921833157539368,0.15782521665096283,0.7196110486984253,0.7412888407707214
9,0.7353099584579468,0.1470618098974228,0.7423014640808105,0.6450671553611755
10,0.7277628183364868,0.1430022269487381,0.7131280303001404,0.7732096910476685
11,0.7477089166641235,0.1330452859401703,0.6920583248138428,0.9104576706886292
12,0.7649595737457275,0.12757346034049988,0.7406806945800781,0.7261881828308105
13,0.7752021551132202,0.12340369075536728,0.6855753660202026,0.9750348329544067
14,0.7956873178482056,0.11028434336185455,0.7293354868888855,0.8149543404579163
15,0.8070080876350403,0.10389386862516403,0.7115073204040527,0.8579654693603516
16,0.8107816576957703,0.109286829829216,0.7552674412727356,0.6738481521606445
17,0.8350404500961304,0.0924721211194992,0.724473237991333,0.8411838412284851
18,0.8328840732574463,0.09535662829875946,0.8103727698326111,0.5036784410476685
19,0.828032374382019,0.09494619816541672,0.8022690415382385,0.5652973055839539
20,0.8447439074516296,0.08555817604064941,0.7504051923751831,0.8446238040924072
21,0.8641509413719177,0.07749707996845245,0.8589951395988464,0.38819175958633423
22,0.8873315453529358,0.06465107202529907,0.8265802264213562,0.513606607913971
23,0.8652291297912598,0.07317974418401718,0.8379254341125488,0.4940352737903595
24,0.8814015984535217,0.06807904690504074,0.8265802264213562,0.5208877325057983
25,0.8716981410980225,0.07093530893325806,0.8476499319076538,0.4777716398239136
26,0.8964959383010864,0.05601240694522858,0.8200972676277161,0.6442564725875854
27,0.9078167080879211,0.0513332225382328,0.7050243020057678,1.2462903261184692
28,0.8830188512802124,0.0649389699101448,0.8330631852149963,0.4913272559642792
29,0.8997304439544678,0.056587908416986465,0.8022690415382385,0.6711936593055725
30,0.9126684665679932,0.04757115617394447,0.8622366189956665,0.48306965827941895
31,0.9126684665679932,0.05021969601511955,0.7374392151832581,1.0736210346221924
32,0.9002695679664612,0.05559159070253372,0.8752025961875916,0.4201081097126007
33,0.9164420366287231,0.04379810392856598,0.8265802264213562,0.61778724193573
34,0.9223719835281372,0.044831469655036926,0.7990275621414185,0.8042972087860107
35,0.9336926937103271,0.04026755690574646,0.8525121808052063,0.5526701211929321
36,0.9288409948348999,0.04158727824687958,0.8849270939826965,0.44794130325317383
37,0.9299191236495972,0.03830280527472496,0.8687196373939514,0.47300904989242554
38,0.9212937951087952,0.04894069582223892,0.8849270939826965,0.3924033045768738
39,0.9482479691505432,0.03216629475355148,0.8881685733795166,0.4196613132953644
40,0.9412398934364319,0.032473836094141006,0.8784440755844116,0.4920654892921448
41,0.9374663233757019,0.035926297307014465,0.8816855549812317,0.5209892392158508
42,0.9460916519165039,0.03409050032496452,0.8978930115699768,0.37487152218818665
43,0.9417789578437805,0.03314405307173729,0.854132890701294,0.5803343057632446
44,0.9229110479354858,0.04383489862084389,0.8687196373939514,0.4307018518447876
45,0.9396226406097412,0.03696994110941887,0.8719611167907715,0.5123245716094971
46,0.9547169804573059,0.022073524072766304,0.8735818266868591,0.49532607197761536
47,0.9520215392112732,0.029708905145525932,0.8816855549812317,0.4045468270778656
48,0.9611859917640686,0.024693036451935768,0.9141004681587219,0.3293333351612091
49,0.9504042863845825,0.02719818614423275,0.9011345505714417,0.36975008249282837
50,0.9584905505180359,0.024497194215655327,0.8784440755844116,0.43208107352256775
51,0.9633423089981079,0.020853443071246147,0.8995137810707092,0.38854748010635376
52,0.9574124217033386,0.023281006142497063,0.8363047242164612,0.7012205719947815
53,0.9617250561714172,0.024314992129802704,0.8638573884963989,0.5303078889846802
54,0.9536387920379639,0.024812379851937294,0.8719611167907715,0.44719624519348145
55,0.9628032445907593,0.024076437577605247,0.8525121808052063,0.6335304379463196
56,0.9552560448646545,0.027763649821281433,0.9059967398643494,0.4535040259361267
57,0.9719676375389099,0.016251660883426666,0.9092382788658142,0.44633013010025024
58,0.9590296745300293,0.02234187349677086,0.8865478038787842,0.4715200364589691
59,0.9633423089981079,0.022753167897462845,0.8849270939826965,0.48621129989624023
60,0.9590296745300293,0.025254718959331512,0.8946515321731567,0.43786922097206116
61,0.9687331318855286,0.01783139258623123,0.880064845085144,0.5019647479057312
62,0.9676550030708313,0.019514141604304314,0.9011345505714417,0.3625980019569397
63,0.9671158790588379,0.017007730901241302,0.8735818266868591,0.6648567318916321
64,0.9735848903656006,0.014584734104573727,0.8881685733795166,0.5298495888710022
65,0.9789757132530212,0.013169798068702221,0.8411669135093689,0.8940181136131287
66,0.9638813734054565,0.020143456757068634,0.8752025961875916,0.5795539617538452
67,0.9574124217033386,0.027001751586794853,0.8865478038787842,0.48356354236602783
68,0.9633423089981079,0.019557442516088486,0.8395462036132812,0.5897903442382812
69,0.9628032445907593,0.022693868726491928,0.8962723016738892,0.46903711557388306
70,0.9649595618247986,0.02062203921377659,0.8784440755844116,0.517062783241272
71,0.9757412672042847,0.017405830323696136,0.8930308222770691,0.5084397792816162
72,0.9676550030708313,0.02030104212462902,0.8508914113044739,0.7661033272743225
73,0.9654986262321472,0.01838007941842079,0.9076175093650818,0.5327280759811401
74,0.9768193960189819,0.01188620738685131,0.9124797582626343,0.4666898548603058
75,0.9762803316116333,0.016408100724220276,0.8654780983924866,0.6733762621879578
76,0.9671158790588379,0.02304937317967415,0.9157212376594543,0.3361145853996277
77,0.9622641801834106,0.025011569261550903,0.8687196373939514,0.6644129753112793
78,0.9681940674781799,0.01934393309056759,0.9011345505714417,0.45008793473243713
79,0.9768193960189819,0.014481835998594761,0.917341947555542,0.42810124158859253
80,0.9649595618247986,0.021170664578676224,0.867098867893219,0.6003613471984863
81,0.973045825958252,0.015724793076515198,0.9108589887619019,0.4131764769554138
82,0.9795148372650146,0.014073542319238186,0.8962723016738892,0.49358615279197693
83,0.9725067615509033,0.016322121024131775,0.880064845085144,0.6128914952278137
84,0.9649595618247986,0.021710876375436783,0.9124797582626343,0.38993364572525024
85,0.977897584438324,0.013333357870578766,0.8914100527763367,0.5413655638694763
86,0.9714285731315613,0.016946587711572647,0.9124797582626343,0.43508514761924744
87,0.9725067615509033,0.017711270600557327,0.9124797582626343,0.44320961833000183
88,0.9752021431922913,0.015535268932580948,0.9157212376594543,0.46948060393333435
89,0.9708895087242126,0.019185472279787064,0.8881685733795166,0.5435873866081238
90,0.9757412672042847,0.01633654534816742,0.9092382788658142,0.45033547282218933
91,0.981671154499054,0.012498312629759312,0.9108589887619019,0.49247023463249207
92,0.9703503847122192,0.018082356080412865,0.9254456758499146,0.39667993783950806
93,0.9795148372650146,0.013949675485491753,0.9124797582626343,0.44465556740760803
94,0.9665768146514893,0.019557256251573563,0.9043760299682617,0.4886515736579895
95,0.9757412672042847,0.015578679740428925,0.9043760299682617,0.4789285361766815
96,0.9735848903656006,0.01659565605223179,0.9141004681587219,0.38291752338409424
97,0.9795148372650146,0.011476301588118076,0.9108589887619019,0.42127957940101624
98,0.973045825958252,0.0174602959305048,0.9108589887619019,0.42748957872390747
99,0.9800539016723633,0.015103193931281567,0.9205834865570068,0.3503996431827545
